Hour,OriginalLoad_kW,DualIDRLoad_kW,PV_kW,Wind_kW,AvailableRenewable_kW,Case6_PreVoltage_kV,Case6_PostDSOVoltage_kV,Case6_HostingCap_kW,Case6_Curtailment_kW,Case6_AccommodatedRE_kW,Case8_Qavail_kvar,Case8_Qreq_kvar,Case8_Qeff_kvar,Case8_QeffEnergy_kVarh,Case8_PostReactiveVoltage_kV,Case8_HostingGainFromQ_kW,Case8_AbsorptionHeadroom_kW,Case8_HostingCap_kW,Case8_Curtailment_kW,Case8_AccommodatedRE_kW,DeltaP_Accommodation_kW,DeltaE_Accommodation_kWh
1,490,739.06,0,320,320,10.4337430555556,10.4196447477737,533.798079540477,0,320,96,0,0,0,10.4196447477737,0,379.338266905192,533.798079540477,0,320,0,0
2,480,708.305,0,380,380,10.4579024385424,10.4439873358159,533.189836449166,0,380,114,0,0,0,10.4439873358159,0,380.40679912561,533.189836449166,0,380,0,0
3,470,677.55,0,390,390,10.4597479166667,10.4461930735958,533.092539750764,0,390,117,0,0,0,10.4461930735958,0,381.479860324202,533.092539750764,0,390,0,0
4,490,687.1725,0,400,400,10.4594708852096,10.446573811346,529.765342799804,0,400,120,0,0,0,10.446573811346,0,381.17930383795,529.765342799804,0,400,0,0
5,500,686.795,0,350,350,10.4336520613688,10.4214771004456,528.289133468935,0,350,105,0,0,0,10.4214771004456,0,381.368953834391,528.289133468935,0,350,0,0
6,580,756.4175,0,200,200,10.3588191570853,10.3476843748884,520.871715062265,0,200,60,0,0,0,10.3476843748884,0,379.703559270851,520.871715062265,0,200,0,0
7,700,700,50,220,270,10.4030481481481,10.392476120435,508.282257330851,0,270,87.3,0,0,0,10.392476120435,0,380.542824634617,508.282257330851,0,270,0,0
8,880,880,250,250,500,10.5112370390298,10.5020703723631,459.425895439895,40.5741045601052,459.425895439895,181.5,0.177230866319802,0.128239977557938,0.128239977557938,10.5,23.1510851641194,375.115493517179,478.885450038144,21.1145499618559,478.885450038144,19.4595545982494,19.4595545982494
9,1000,1000,350,230,580,10.5463407946063,10.5382499937377,434.008080904359,145.991919095641,434.008080904359,218.1,3.17487444045956,2.31962182447723,2.31962182447723,10.5,313.201355423464,384.455342260079,710.221558817148,0,580,145.991919095641,145.991919095641
10,1180,1062,400,150,550,10.5378048340732,10.5304256375573,404.489741103011,145.510258896989,404.489741103011,215.4,2.41817038715747,1.75044099107627,1.75044099107627,10.5,248.341238125932,406.433299305933,627.287701734435,0,550,145.510258896989,145.510258896989
11,1300,1170,430,120,550,10.5371742424242,10.5305038380849,365.344166686195,184.655833313805,365.344166686195,219.18,2.37048547463228,1.70945639011051,1.70945639011051,10.5,238.867110334241,435.876291941906,585.545399565732,0,550,184.655833313805,184.655833313805
12,1450,1305,450,100,550,10.5344410433404,10.5283842251586,315.534806046682,234.465193953318,315.534806046682,221.7,2.17243328171337,1.55953194565282,1.55953194565282,10.5,216.267600492831,460.91388479243,519.914787039203,30.0852129607965,519.914787039203,204.379980992522,204.379980992522
13,1400,1260,450,110,560,10.5465452380952,10.5402157428468,290.86946152728,269.13053847272,290.86946152728,224.7,3.01924406991457,2.17767792326118,2.17767792326118,10.5,289.824317027051,474.891556928882,567.047604799828,0,560,269.13053847272,269.13053847272
14,1250,1125,450,150,600,10.576551380902,10.5694108207498,298.081597986905,301.918402013095,298.081597986905,236.7,5.12762088742637,3.75066281389308,3.75066281389308,10.5,445.739719566838,466.972656671835,719.346536064696,0,600,301.918402013095,301.918402013095
15,1300,1170,400,300,700,10.6146547619048,10.6072079004301,326.019387562466,373.980612437534,326.019387562466,260.4,8.18191149507987,6.11482770783805,6.11482770783805,10.5,581.726206310172,433.437916549055,759.457304111521,0,700,373.980612437534,373.980612437534
16,1350,1350,350,400,750,10.6237254689571,10.6163391053207,348.445276315371,401.554723684629,348.445276315371,269.1,9.18850092998813,6.90467541395304,6.90467541395304,10.5,594.212337107819,380.792849218891,729.238125534262,20.7618744657382,729.238125534262,380.792849218891,380.792849218891
17,1500,1500,200,500,700,10.5847728890281,10.5772311643452,375.695924754012,324.304075245988,375.695924754012,235.2,6.45572605888922,4.80453949894171,4.80453949894171,10.5,486.806124180305,324.310833273402,700.006758027414,0,700,324.304075245988,324.304075245988
18,1650,1452,50,650,700,10.5793899450972,10.5708899450972,407.6100696084,292.3899303916,407.6100696084,171.3,6.2475285098211,4.68000041729163,4.68000041729163,10.5,484.948842598076,276.812321095213,684.422390703613,15.5776092963869,684.422390703613,276.812321095213,276.812321095213
19,1800,1584,0,680,680,10.5582666666667,10.5494902095314,394.907788957506,285.092211042494,394.907788957506,150,4.55458253522227,3.3870474017561,3.3870474017561,10.5,394.96340606324,237.762170593464,632.669959550969,47.3300404490308,632.669959550969,237.762170593464,237.762170593464
20,1620,1425.6,0,700,700,10.5776518498591,10.5675518498591,406.017769806787,293.982230193213,406.017769806787,150,6.19337934562385,4.64028811037977,4.64028811037977,10.5,490.154090528259,240.678142474536,646.695912281323,53.3040877186768,646.695912281323,240.678142474536,240.678142474536
21,1200,1056,0,600,600,10.5559871747424,10.5438658543988,450.502768361618,149.497231638382,450.502768361618,150,3.92828546854869,2.92240843633442,2.92240843633442,10.5,409.669899440412,281.53584514819,732.038613509808,0,600,149.497231638382,149.497231638382
22,1000,880,0,500,500,10.5196976911793,10.5064329483013,485.788931052707,14.2110689472933,485.788931052707,150,0.57706466112644,0.423320708454332,0.423320708454332,10.5,86.5625638852292,325.345809514111,551.74859833717,0,500,14.2110689472933,14.2110689472933
23,700,907.55,0,480,480,10.5045756944444,10.4911156063595,500.709714291009,0,480,144,0,0,0,10.4911156063595,0,352.640875999038,500.709714291009,0,480,0,0
24,630,837.55,0,450,450,10.4910131864576,10.4771857243364,517.8906076012,0,450,135,0,0,0,10.4771857243364,0,369.269007507492,517.8906076012,0,450,0,0
