SettingID,Np,Imax,Seed,Best_E_EMO_CNY,Runtime_s,StopIter
"Np=30,Imax=100",30,100,1,83895.8473710552,0.272044,17
"Np=30,Imax=100",30,100,2,46095.8473710552,0.2275257,18
"Np=30,Imax=100",30,100,3,77895.8473710552,0.2099355,17
"Np=30,Imax=100",30,100,4,185895.847371055,0.2242766,18
"Np=30,Imax=100",30,100,5,106095.847371055,0.2514902,20
"Np=30,Imax=100",30,100,6,83895.8473710552,0.2034816,17
"Np=30,Imax=100",30,100,7,74895.8473710552,0.2170168,18
"Np=30,Imax=100",30,100,8,158895.847371055,0.2328435,20
"Np=30,Imax=100",30,100,9,49695.8473710552,0.2113558,18
"Np=30,Imax=100",30,100,10,124695.847371055,0.2300598,19
"Np=30,Imax=100",30,100,11,80895.8473710552,0.2383202,20
"Np=30,Imax=100",30,100,12,161895.847371055,0.2003925,17
"Np=30,Imax=100",30,100,13,127095.847371055,0.3674811,32
"Np=30,Imax=100",30,100,14,139095.847371055,0.2592947,22
"Np=30,Imax=100",30,100,15,85695.8473710552,0.206133,17
"Np=30,Imax=100",30,100,16,185895.847371055,0.2384001,21
"Np=30,Imax=100",30,100,17,185895.847371055,0.3049464,26
"Np=30,Imax=100",30,100,18,50895.8473710552,0.2215225,19
"Np=30,Imax=100",30,100,19,149895.847371055,0.2359354,20
"Np=30,Imax=100",30,100,20,62895.8473710552,0.2077599,18
"Np=50,Imax=100",50,100,1,185895.847371055,0.3479696,18
"Np=50,Imax=100",50,100,2,101895.847371055,0.3406114,18
"Np=50,Imax=100",50,100,3,161895.847371055,0.3468373,18
"Np=50,Imax=100",50,100,4,100095.847371055,0.3965773,20
"Np=50,Imax=100",50,100,5,100695.847371055,0.327983,17
"Np=50,Imax=100",50,100,6,118095.847371055,0.3520447,18
"Np=50,Imax=100",50,100,7,185895.847371055,0.3495386,18
"Np=50,Imax=100",50,100,8,149895.847371055,0.3324945,17
"Np=50,Imax=100",50,100,9,149895.847371055,0.3950682,20
"Np=50,Imax=100",50,100,10,127095.847371055,0.536396,27
"Np=50,Imax=100",50,100,11,149895.847371055,0.5183771,26
"Np=50,Imax=100",50,100,12,185895.847371055,0.3851481,19
"Np=50,Imax=100",50,100,13,185895.847371055,0.3905711,19
"Np=50,Imax=100",50,100,14,127095.847371055,0.3316427,17
"Np=50,Imax=100",50,100,15,152895.847371055,0.3735145,19
"Np=50,Imax=100",50,100,16,89895.8473710552,0.3493653,18
"Np=50,Imax=100",50,100,17,128895.847371055,0.347555,18
"Np=50,Imax=100",50,100,18,103095.847371055,0.3361993,17
"Np=50,Imax=100",50,100,19,158895.847371055,0.3708961,19
"Np=50,Imax=100",50,100,20,125895.847371055,0.3958686,20
"Np=80,Imax=100",80,100,1,91695.8473710552,0.4965926,16
"Np=80,Imax=100",80,100,2,185895.847371055,0.7998619,26
"Np=80,Imax=100",80,100,3,113896.633970825,0.6252799,19
"Np=80,Imax=100",80,100,4,163095.847371055,0.7465169,23
"Np=80,Imax=100",80,100,5,185895.847371055,0.5710223,18
"Np=80,Imax=100",80,100,6,140895.847371055,0.5369811,17
"Np=80,Imax=100",80,100,7,185895.847371055,0.7828233,24
"Np=80,Imax=100",80,100,8,140895.847371055,0.6542763,20
"Np=80,Imax=100",80,100,9,158895.847371055,0.6142865,18
"Np=80,Imax=100",80,100,10,161895.847371055,0.5889178,17
"Np=80,Imax=100",80,100,11,163095.847371055,0.5574651,17
"Np=80,Imax=100",80,100,12,134895.847371055,0.5472602,17
"Np=80,Imax=100",80,100,13,185895.847371055,0.5243493,17
"Np=80,Imax=100",80,100,14,101895.847371055,0.5407348,17
"Np=80,Imax=100",80,100,15,158895.847371055,0.5556538,17
"Np=80,Imax=100",80,100,16,163095.847371055,0.6405495,19
"Np=80,Imax=100",80,100,17,185895.847371055,0.5477954,17
"Np=80,Imax=100",80,100,18,139095.847371055,0.5493478,18
"Np=80,Imax=100",80,100,19,163095.847371055,0.604835,19
"Np=80,Imax=100",80,100,20,133695.847371055,0.7265879,22
"Np=50,Imax=60",50,60,1,185895.847371055,0.3661405,18
"Np=50,Imax=60",50,60,2,101895.847371055,0.4090372,19
"Np=50,Imax=60",50,60,3,161895.847371055,0.3764871,18
"Np=50,Imax=60",50,60,4,100095.847371055,0.4318095,20
"Np=50,Imax=60",50,60,5,100695.847371055,0.3763668,17
"Np=50,Imax=60",50,60,6,118095.847371055,0.3789482,18
"Np=50,Imax=60",50,60,7,185895.847371055,0.4112756,18
"Np=50,Imax=60",50,60,8,149895.847371055,0.362704,17
"Np=50,Imax=60",50,60,9,149895.847371055,0.4661567,20
"Np=50,Imax=60",50,60,10,100095.847371055,0.3627435,17
"Np=50,Imax=60",50,60,11,149895.847371055,0.4882572,23
"Np=50,Imax=60",50,60,12,185895.847371055,0.3782384,19
"Np=50,Imax=60",50,60,13,185895.847371055,0.3775749,19
"Np=50,Imax=60",50,60,14,127095.847371055,0.3194901,17
"Np=50,Imax=60",50,60,15,152895.847371055,0.3618074,19
"Np=50,Imax=60",50,60,16,89895.8473710552,0.3413225,18
"Np=50,Imax=60",50,60,17,128895.847371055,0.3604398,18
"Np=50,Imax=60",50,60,18,103095.847371055,0.3675849,17
"Np=50,Imax=60",50,60,19,185895.847371055,0.5354848,27
"Np=50,Imax=60",50,60,20,125895.847371055,0.3992754,20
"Np=50,Imax=150",50,150,1,185895.847371055,0.3379753,18
"Np=50,Imax=150",50,150,2,101895.847371055,0.3451153,18
"Np=50,Imax=150",50,150,3,161895.847371055,0.3527732,18
"Np=50,Imax=150",50,150,4,100095.847371055,0.3732452,20
"Np=50,Imax=150",50,150,5,100695.847371055,0.3213546,17
"Np=50,Imax=150",50,150,6,118095.847371055,0.344965,18
"Np=50,Imax=150",50,150,7,185895.847371055,0.3354041,18
"Np=50,Imax=150",50,150,8,149895.847371055,0.3244435,17
"Np=50,Imax=150",50,150,9,149895.847371055,0.3663672,20
"Np=50,Imax=150",50,150,10,127095.847371055,0.5406889,27
"Np=50,Imax=150",50,150,11,149895.847371055,0.5386537,27
"Np=50,Imax=150",50,150,12,185895.847371055,0.3800286,19
"Np=50,Imax=150",50,150,13,185895.847371055,0.3685303,19
"Np=50,Imax=150",50,150,14,127095.847371055,0.3297731,17
"Np=50,Imax=150",50,150,15,152895.847371055,0.374191,19
"Np=50,Imax=150",50,150,16,89895.8473710552,0.3579013,18
"Np=50,Imax=150",50,150,17,128895.847371055,0.3255144,17
"Np=50,Imax=150",50,150,18,103095.847371055,0.330282,17
"Np=50,Imax=150",50,150,19,158895.847371055,0.3777081,19
"Np=50,Imax=150",50,150,20,125895.847371055,0.421299,20
